ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R399;8;While streaming a movie  buffering should only occur if there is latency in the user\92s connection.;PE;conjunction;if
R401;8;The website shall be available for use 24 hours per day  365 days per year.;A;conjunction;for
R404;8;The website shall continue to operate if the streaming server goes down.;FT;conjunction;if
R405;8;The website shall continue to operate if the payment gateway goes down.;FT;conjunction;if
R410;8;The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.;MN;conjunction;for
R417;8;Movies shall be encoded for 56k and 256k streams.;O;conjunction;for
R421;8;The system will provide a 24 hour 800 toll free number for support to its customers.;A;conjunction;for
R423;8;Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.;A;conjunction;for
R426;8;A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.;SE;conjunction;if
R446;8;The website will allow customers to search for movies by title  actor  or director.;F;conjunction;for
R449;8;shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.;F;conjunction;for
R452;8;Website shall allow customers to add their own movie review for a selected movie.;F;conjunction;for
R454;8;System will allow customers to pay for a streaming movie with a pre-paid card.;F;conjunction;for
R459;8;Movies can only be streamed if the customer has purchased a movie  and is within the 2-day time period to stream the movie.;F;conjunction;if
R465;9;"Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.";PE;conjunction;for
R465;9;"Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.";PE;conjunction;then
R466;9;No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.;PE;conjunction;for
R467;9;For leads that process longer than 25 seconds the system will record the event and duration;PE;conjunction;For
R475;9;If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.;F;conjunction;If
R476;9;The leads washing functionality will validate all leads received by the web service for valid data;F;conjunction;for
R478;9;If the leads score falls within the high average score then it will be process by the ARA functionality.;F;conjunction;If
R478;9;If the leads score falls within the high average score then it will be process by the ARA functionality.;F;conjunction;then
R479;9;If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.;F;conjunction;If
R479;9;If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.;F;conjunction;then
R479;9;If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.;F;conjunction;for
R480;9;If the leads score falls within the low average then it will be returned to the supplying vendor;F;conjunction;If
R480;9;If the leads score falls within the low average then it will be returned to the supplying vendor;F;conjunction;then
R481;9;The leads washing functionality will compile both contact and academic scoring information for a total score.;F;conjunction;for
R498;10;The response time shall be fast enough to maintain the flow of the game.  The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.;PE;conjunction;for
R503;10;The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.;PE;conjunction;for
R506;10;Once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players.;F;conjunction;for
R508;10;The product shall make inactive players unavailable for selection from the list of players.;F;conjunction;for
R509;10;The product shall remove players who have been inactive for 24 hours from the list of players.;F;conjunction;for
R519;10;When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.;F;conjunction;for
R520;10;For each turn  the product shall identify one player as offensive status and one player as defensive status.;F;conjunction;For
R521;10;The product shall maintain the status of each player for a turn  either offensive or defensive.;F;conjunction;for
R523;10;For each turn  the product shall allow the offensive player to define a shot.;F;conjunction;For
R524;10;For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.;F;conjunction;For
R525;10;For each shot  the product shall notify the players whether the shot was a hit or miss.;F;conjunction;For
R526;10;For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.;F;conjunction;For
R527;10;For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.;F;conjunction;For
R532;10;If the shot was marked as a hit  the product shall allow the offensive player to define a shot.;F;conjunction;If
R533;10;If the shot was marked as a miss  the product shall change the status of the offensive player to defensive;F;conjunction;If
R534;10;If the shot was marked as a miss  the product shall change the status of the defensive player to offensive;F;conjunction;If
R545;11;On a 56k connection  the system response time for all operations must be no more than 6 seconds 90% of the time.;PE;conjunction;for
R546;11;On a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90% of the time.;PE;conjunction;for
R547;11;The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.;A;conjunction;for
R548;11;The system must be available for use between 7:00AM and 11:59PM all days of the year.;A;conjunction;for
R557;12;The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.;US;conjunction;for
R563;12;The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.;PE;conjunction;for
R565;12;The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.;A;conjunction;for
R576;12;The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.;SE;conjunction;for
R585;13;All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available);US;conjunction;for
R589;13;The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.;SC;conjunction;for
R589;13;The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.;SC;conjunction;if
R592;13;The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.;MN;conjunction;for
R608;14;A primary database will be used to store cached data for active users.;O;conjunction;for
R622;15;The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.;US;conjunction;for
R623;15;The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time  the response time should not be more than 10 seconds.not be more than 10 seconds.;PE;conjunction;For
R631;16;The system shall have a help system that offers tips and explanation for each screen and each item on the screens upon demand.;US;conjunction;for
R636;17;The system shall query the user for the amount of money.;F;conjunction;for
R637;17;The system shall query the user for the account type.;F;conjunction;for
R646;18;The meeting scheduler system may (optionally) automatically propose another meeting if current meeting is canceled by an important participant.;F;conjunction;if
R648;18;The meeting scheduler system may be able to include an agenda for a meeting proposal.;F;conjunction;for
R649;18;The meeting scheduler system may suggest a “virtual meeting” for available “time slots” if no location is available or feasible for the meeting.;F;conjunction;for
R649;18;The meeting scheduler system may suggest a “virtual meeting” for available “time slots” if no location is available or feasible for the meeting.;F;conjunction;if
R650;18;The meeting scheduler system may be able to include a list of required equipment for a meeting proposal.;F;conjunction;for
R651;18;A meeting scheduler system will temporarily reserve the “time slots” for the proposed meeting.;F;conjunction;for
R664;20;Users shall be required to log in to the Cafeteria Ordering System for all operations except viewing a menu.;F;conjunction;for
R667;20;Only users who have been authorized for home access to the corporate Intranet may use the COS from non-company locations.;SE;conjunction;for
R671;22;All data entry forms for the application should match their Microsoft Excel hardcopy counterparts as closely as possible. Hardcopies of these forms were provided to the design team during the second requirements interview.;O;conjunction;for
R677;24;Test environments should be built for the application to allow testing of the applications different functions.;MN;conjunction;for
R681;25;The campus map shall provide visual clues regarding what areas have prepared audio and therefore may be selected.;LF;conjunction;therefore
R691;27;A waiter password used for tablet login must have a bit-strength of at least 64 bits.;SE;conjunction;for
R692;27;A waiter password used for tablet login must be changed every three months.;SE;conjunction;for
R707;30;Enable a registered user to change his password if he forgets his password.;F;conjunction;if
R713;30;Provide an interface for the admin to approve posts so that posts are not visible without admin approval.;F;conjunction;for
R713;30;Provide an interface for the admin to approve posts so that posts are not visible without admin approval.;F;conjunction;so
R724;32;Information recorded must include an optional field for context.;F;conjunction;for
R731;32;A correct combination of username and password is required for a user to login.;SE;conjunction;for
R748;33;The system shall give the user an opportunity for the user to choose the selection of doughnut provided.;F;conjunction;for
R766;35;The product is Web based therefore it will be used in any environment that allows Web access.;PO;conjunction;therefore
R767;35;For the system to successfully operate the registration system should be integrated with other IT services and the portal.;O;conjunction;For
R774;36;The software system needs a robust security mechanism in place so that unauthorized users are not allowed access to parts of the system.;SE;conjunction;so
R777;36;All source code shall adhere to an agreed upon and well-defined set of coding standards for each development language used.;MN;conjunction;for
R780;37;The available server must be reliable and the network connectivity in the supermarket should be proper for smooth flow of all operations and data.;O;conjunction;for
R782;37;The software is available for use from the supermarket opening time to the closing time.;A;conjunction;for
R793;38;Can view all available products and can compare them and make a choice for purchasing products.;F;conjunction;for
R795;38;Can give feedback to the 24X7 Customer Care Service center about their impression for the site and services.;F;conjunction;for
R798;38;Vendors must take permission from the Administrator for selling their products under the site. Administrator will test product’s quality according to its market price to permit vendor for selling purpose.;F;conjunction;for
R801;38;Responsible for properly allocating the selected product according to the customer’s choice and delivering product to the customer.;F;conjunction;for
R802;38;Keep track of each product item’s stocks for selling purpose.;F;conjunction;for
R803;38;Responsible for informing administrator when any product item’s stock goes under the minimum level.;F;conjunction;for
R804;38;Taking permission from the Administrator for the product to be purchased from vendor.;F;conjunction;for
R805;38;Responsible for managing stocks of each product items.;F;conjunction;for
R807;38;Responsible for contacting the banks for the validation of the a/c number provided by the customer while purchasing and make the transaction from the given a/c.;F;conjunction;for
R808;38;Consult with the Administrator about the payment details of the customers for the updating of the database.;F;conjunction;for
R811;40;The system is expected to have reasonable short time response. The voter should be able to login and should be able to get response for his requests in 2-3 seconds.;PE;conjunction;for
R814;40;To prevent attacks the system should generate random word and ask the user to enter it correctly for multiple tryings.;SE;conjunction;for
R821;42;Backspace/reset capability is implemented for typing errors.;F;conjunction;for
R823;42;Return to List is available if the patient loaded is not correct.;F;conjunction;if
R825;42;The font will be larger enough for easy reading.;F;conjunction;for
R834;43;All login attempts shall be done so in a secure manner.;SE;conjunction;so
R839;45;The system shall allow administrators to define negotiation rules for the organization.;F;conjunction;for
R866;45;The system shall allow users to search  for available distributed location templates(if any).;F;conjunction;for
R872;45;Users shall be required to log into the system for all operations except the operations on the login page.;SE;conjunction;for
R897;46;The system shall allow user to register for newsletters and surveys in the profile.;F;conjunction;for
R899;46;The system shall allow user to enter the customer and product information for the support.;F;conjunction;for
R901;46;The system shall allow user to enter the contact number for support personnel to call.;F;conjunction;for
R906;46;The system shall display detailed invoice for current order once it is confirmed.;F;conjunction;for
R913;46;The system shall display tentative duration for shipping.;F;conjunction;for
R914;46;The system shall allow user to enter the order information for tracking.;F;conjunction;for
R916;46;The system shall calculate tax for the order.;F;conjunction;for
R917;46;The system shall display tax information for the order.;F;conjunction;for
R918;46;The system shall display available payment methods for payment.;F;conjunction;for
R919;46;The system shall allow user to select the payment method for order.;F;conjunction;for
R934;46;The system shall provide a digital image for each product in the product catalog.;US;conjunction;for
R938;46;The system shall provide a contractual agreement with an internet service provider for T3 access with 99.9999% availability.;A;conjunction;for
R952;47;The system shall allow the user to register for an account from any page in the system.;F;conjunction;for
R956;48;The system may be throttled or slowed down on heavy loads to ensure service for everybody. By throttling is meant that certain functionality may be unavailable during heavy server load.;PE;conjunction;for
R958;48;The system should be able to scale up to 500 concurrent users (if there is a need in the future) by installing additional hardware components.;SC;conjunction;if
R959;48;The MTBF (if any) should not be less than 2 months.;A;conjunction;if
R962;48;It should not take more than 120 seconds for a new user to register for an account.;US;conjunction;for
R963;48;It should not take more than 90 seconds for a registered user to place an order.;US;conjunction;for
R966;49;Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.;F;conjunction;for
R967;49;The entire website must be user-friendly and easily navigable. The website must be provided with a site map for quick access to a particular link according to the requirement specification. The user must be able to find what he/she wants from the site without any difficulty. The website must adhere to branding schemes and the layout of the web pages must be uniform throughout  ;US;conjunction;for
R969;49;The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.;SE;conjunction;for
